index	code	transcribed_group	plaintext
4651	"59^"""	5^'' 9	als
4652	213^o	2^o 1 3	
4653	644^o	6^o 4 4	vijf
4654	25	2 5	de
4655	"104^"""	1^'' 0 4	aan
4656	741	7 4 1	haar
4657	86	8 6	en
4658	"671^"""	6^'' 7 1	cem/cen?
4659	450	4 5 0	p
4660	311	3 1 1	l
4661	113^^	1^^ 1 3	ee
4662	414^o	4^o 1 4	ten
4663	75^o	7^o 5	staat
4664	132^CircleWithHorizontalBar	1^_ 3^+ 2	zo
4665	"104^"""	1 0^'' 4	aan
4666	234^_	2^_ 3^_ 4	
4667	871^_	8^_ 7^_ 1	offres
4668	620^^	6^^ 2 0	ren
4669	"59^"""	5^'' 9	als
4670	62^o	6^o 2	soldaat F
4671	339^_	^_ 3 3^_ 9	
4672	520^^	5^^ 2 0	qu
4673	80	8 0	eeron
4674	158	1 5 8	en
4675	743	7 4 3	dak?
4676	52	5 2	dit
4677	550	5 5 0	ge
4678	381	3 8 1	b
4679	110^^	1 1^^ 0	ro
4680	47^_	4^_ 7^_	l
4681	881^o	8^o 8 1	volgens
4682	4	4	een
4683	"15^"""	1^'' 5	a
4684	41^^	4^^ 1	u
4685	190^o	1 9^o 0	tent
4686	5	5	i
4687	520^^	5^^ 2 0	qu
4688	86	8 6	en
4689	75^o	7 5^o	staat
4690	121	1 2 1	dic
4691	16	1 6	daar
4692	380	3 8 0	van
4693	140^_	1^_ 4^_ 0	hebbe
4694	60	6 0	door
4695	619	6 1 9	gaan
4696	583^CircleWithHorizontalBar	5^_ 8^+ 3	s
4697	"574^"""	5^'' 7 4	by
4698	"130^"""	1^'' 3 0	alle
4699	539^^	5^^ 3 9	reg
4700	5	5	i
4701	668^_	6 6^_ 8^_	ment
4702	121^_	^_ 1 2 1	dit
4703	"67^"""	6^'' 7	anders
4704	300^^	3^^ 0 0	over
4705	26	2 6	de
4706	213^o	2^o 1 3	
4707	70	7 0	
4708	339^_	3 3^_ 9^_	
4709	853^^	8 5 3^^	
4710	754^_	7 5^_ 4	moe
4711	850^^	8^^ 5 0	ste?
4712	674	6 7 4	n
4713	90	9 0	zÿn
4714	794^o	7 9^o 4	vier quatre
4715	644^o	6^o 4 4	vijf
4716	281^CircleWithHorizontalBar	2^_ 8^+ 1	zes, six
4717	158	1 5 8	en
4718	51^CircleWithHorizontalBar	5^+ 1^_	zelfs
4719	223^o	2^o 2 3	beele
4720	198^o	1^o 9 8	tot
4721	772^_	7 7^_ 2^_	negen
4722	81^_	8^_ 1^_	
4723	339^_	3 3^_ 9	
4724	167^^	1^^ 6 7	per
4725	539^^	5^^ 3 9	reg
4726	5	5	i
4727	668^_	6^_ 6^_ 8	ment
4728	311	3 1 1	l
4729	18^o	1^o 8	d
4730	"835^"""	8^'' 3 5	dre
4731	4^CircleWithHorizontalBar	4^+	t
4732	132^CircleWithHorizontalBar	1 3^+ 2^_	zo
4733	87	8 7	is
4734	60^^	6^^ 0	ock
4735	46^CircleWithHorizontalBar	4^+ 6	zeker?
4736	743	7 4 3	dak?
4737	60	6 0	door
4738	26	2 6	de
4739	550	5 5 0	ge
4740	18^o	1 8^o	d
4741	920^o	9^o 2 0	uur?
4742	256^_	2^_ 5^_ 6	ige
4743	227^o	2^o 2 7	ver
4744	"66^"""	6^'' 6	ander
4745	114^_	1^_ 1^_ 4	ing[en]
4746	158	1 5 8	en
4747	705^_	7^_ 0^_ 5^_	
4748	28^_	2^_ 8^_	
4749	141^_	1^_ 4^_ 1^_	
4750	121	1 2 1	dic
4751	39^^	3^^ 9	men
4752	976^^	9^^ 7 6	sedert?
4753	387	3 8 7	eenige
4754	173^_	1^_ 7^_ 3	jaar
